ntp_time,throughput,durasi
1669715025.519096,0.0,1.0
1669715026.519096,0.0,1.0
1669715027.519096,0.0,1.0
1669715028.519096,0.0,1.0
1669715029.519096,0.0,1.0
1669715030.519096,0.0,1.0
1669715031.519096,41407.0,1.0
1669715032.519096,8960.0,1.0
1669715033.519096,0.0,1.0
1669715034.519096,0.0,1.0
1669715035.519096,0.0,1.0
1669715036.519096,0.0,1.0
1669715037.519096,0.0,1.0
1669715038.519096,0.0,1.0
1669715039.519096,0.0,1.0
1669715040.519096,0.0,1.0
1669715041.519096,0.0,1.0
1669715042.519096,0.0,1.0
1669715043.519096,0.0,1.0
1669715044.519096,0.0,1.0
1669715045.519096,46658.0,1.0
1669715046.519096,9747.0,1.0
1669715047.519096,0.0,1.0
1669715048.519096,0.0,1.0
1669715049.519096,0.0,1.0
1669715050.519096,0.0,1.0
1669715051.519096,39207.0,1.0
1669715052.519096,31675.0,1.0
1669715053.519096,34064.0,1.0
1669715054.519096,18284.0,1.0
1669715055.519096,0.0,1.0
1669715056.519096,0.0,1.0
1669715057.519096,47764.0,1.0
1669715058.519096,31049.0,1.0
1669715059.519096,12712.0,1.0
1669715060.519096,0.0,1.0
1669715061.519096,0.0,1.0
1669715062.519096,0.0,1.0
1669715063.519096,45536.0,1.0
1669715064.519096,30612.0,1.0
1669715065.519096,32368.0,1.0
1669715066.519096,15583.0,1.0
1669715067.519096,0.0,1.0
1669715068.519096,60902.0,1.0
1669715069.519096,23170.0,1.0
1669715070.519096,43658.0,1.0
1669715071.519096,32299.0,1.0
1669715072.519096,34107.0,1.0
1669715073.519096,17625.0,1.0
1669715074.519096,0.0,1.0
1669715075.519096,42103.0,1.0
1669715076.519096,28833.0,1.0
1669715077.519096,29671.0,1.0
1669715078.519096,30503.0,1.0
1669715079.519096,31776.0,1.0
1669715080.519096,15657.0,1.0
1669715081.519096,0.0,1.0
1669715082.519096,0.0,1.0
1669715083.519096,0.0,1.0
1669715084.519096,42960.0,1.0
1669715085.519096,29714.0,1.0
1669715086.519096,32605.0,1.0
1669715087.519096,34071.0,1.0
1669715088.519096,19967.0,1.0
1669715089.519096,0.0,1.0
1669715090.519096,44794.0,1.0
1669715091.519096,28914.0,1.0
1669715092.519096,30479.0,1.0
1669715093.519096,31278.0,1.0
1669715094.519096,13262.0,1.0
