time,prediction
1664174481.370986,-0.09319049566984176
1664174481.370986,14221.148166662013
1664174486.370986,16276.389159652434
1664174491.370986,11719.029809969117
1664174496.370986,10441.678101568392
1664174501.370986,12941.745535950808
1664174506.370986,16357.753388128822
1664174511.370986,11461.877220174789
1664174516.370986,11294.691637396743
1664174521.370986,11035.335037786872
1664174526.370986,10517.031486183902
1664174531.370986,10325.66132465416
1664174536.370986,10325.66132465416
1664174541.370986,10325.66132465416
1664174546.370986,10529.185707594816
1664174551.370986,15599.147300725372
1664174556.370986,16357.753388128822
1664174561.370986,10777.772800375771
1664174566.370986,16357.753388128822
1664174571.370986,16357.753388128822
1664174576.370986,16357.753388128822
1664174581.370986,11225.951494459247
1664174586.370986,12559.91971158178
1664174591.370986,14051.05827233252
1664174596.370986,11336.804382186136
1664174601.370986,15711.491752571168
1664174606.370986,16357.753388128822
1664174611.370986,12396.884765737545
1664174616.370986,16357.753388128822
1664174621.370986,10549.708525008627
1664174626.370986,16357.753388128822
1664174631.370986,16357.753388128822
1664174636.370986,11027.53290018789
1664174641.370986,12501.47788546716
1664174646.370986,16357.753388128822
1664174651.370986,11251.155429915332
1664174656.370986,10920.489752614583
1664174661.370986,14211.844680505174
1664174666.370986,12162.777365437418
1664174671.370986,12627.4089183283
1664174676.370986,16357.753388128822
1664174681.370986,11004.391706298193
1664174686.370986,16357.753388128822
1664174691.370986,10481.350105072303
1664174696.370986,16357.753388128822
1664174701.370986,16357.753388128822
1664174706.370986,11344.533656020689
1664174711.370986,13322.627876311326
1664174716.370986,16357.753388128822
1664174721.370986,11665.531485048472
1664174726.370986,16357.753388128822
1664174731.370986,16357.753388128822
1664174736.370986,11074.635146022545
1664174741.370986,16357.753388128822
1664174746.370986,11715.522045309825
1664174751.370986,12698.117508548807
1664174756.370986,16357.753388128822
1664174761.370986,16357.753388128822
1664174766.370986,12315.719965557575
1664174771.370986,16357.753388128822
1664174776.370986,11843.363013643144
1664174781.370986,14760.93826503362
1664174786.370986,13621.20425218129
1664174791.370986,16357.753388128822
1664174796.370986,12135.855395065202
1664174801.370986,10691.030761756598
1664174806.370986,16357.753388128822
1664174811.370986,16357.753388128822
1664174816.370986,16120.499965999878
1664174821.370986,12017.073843089573
1664174826.370986,16357.753388128822
1664174831.370986,16357.753388128822
1664174836.370986,11273.10274907663
1664174841.370986,13509.856016408816
1664174846.370986,12493.964085759502
1664174851.370986,12824.159698697631
1664174856.370986,11369.035146688975
1664174861.370986,11630.670697989752
1664174866.370986,14471.091589410857
1664174871.370986,11588.029420320887
1664174876.370986,16028.630662192601
1664174881.370986,14977.899020534072
1664174886.370986,16357.753388128822
1664174891.370986,11376.432788654527
1664174896.370986,16357.753388128822
1664174901.370986,16357.753388128822
1664174906.370986,11955.67131501758
1664174911.370986,11093.744458359204
1664174916.370986,11802.37941908553
1664174921.370986,14927.119773881393
1664174926.370986,12484.782039210044
1664174931.370986,10823.351531135995
1664174936.370986,11206.807893292267
1664174941.370986,16357.753388128822
1664174946.370986,12086.823298528638
1664174951.370986,10845.441287483849
1664174956.370986,16357.753388128822
1664174961.370986,13039.406185858013
1664174966.370986,12941.3933610894
1664174971.370986,16357.753388128822
1664174976.370986,16357.753388128822
1664174981.370986,10993.958723557753
1664174986.370986,16357.753388128822
1664174991.370986,16357.753388128822
1664174996.370986,11518.679957941573
1664175001.370986,16357.753388128822
1664175006.370986,10677.92472224647
1664175011.370986,16357.753388128822
1664175016.370986,16357.753388128822
1664175021.370986,13961.787822123073
1664175026.370986,12640.813426520528
1664175031.370986,16357.753388128822
1664175036.370986,10365.33930272699
1664175041.370986,16357.753388128822
1664175046.370986,14765.46159817425
1664175051.370986,16357.753388128822
1664175056.370986,16357.753388128822
1664175061.370986,12077.871337823542
1664175066.370986,16357.753388128822
1664175071.370986,16357.753388128822
1664175076.370986,11507.078557331608
1664175081.370986,11503.489010348487
1664175086.370986,16357.753388128822
1664175091.370986,10899.888486513222
1664175096.370986,11255.019417422944
1664175101.370986,15345.808959070055
1664175106.370986,14898.617649088457
1664175111.370986,16357.753388128822
1664175116.370986,16357.753388128822
1664175121.370986,12195.293502194112
1664175126.370986,16323.491470428053
1664175131.370986,16357.753388128822
1664175136.370986,11367.242559543287
1664175141.370986,16357.753388128822
1664175146.370986,12186.416310188462
1664175151.370986,10944.682990161817
1664175156.370986,13192.91470320737
1664175161.370986,16357.753388128822
1664175166.370986,9672.100156696115
1664175171.370986,16357.753388128822
1664175176.370986,16357.753388128822
1664175181.370986,16357.753388128822
1664175186.370986,16357.753388128822
1664175191.370986,14764.996934735347
1664175196.370986,16357.753388128822
1664175201.370986,16357.753388128822
1664175206.370986,16357.753388128822
1664175211.370986,11158.45964678009
1664175216.370986,16357.753388128822
1664175221.370986,12059.63067585498
1664175226.370986,12338.14096412863
1664175231.370986,11632.561216112943
1664175236.370986,11034.048860298064
1664175241.370986,16357.753388128822
1664175246.370986,16357.753388128822
1664175251.370986,11281.43943741798
1664175256.370986,16357.753388128822
1664175261.370986,16357.753388128822
1664175266.370986,11323.377144655626
1664175271.370986,11045.838503122966
1664175276.370986,16357.753388128822
1664175281.370986,11154.478419180932
1664175286.370986,15409.115897220327
1664175291.370986,16357.753388128822
1664175296.370986,12539.817668337006
1664175301.370986,16357.753388128822
1664175306.370986,16357.753388128822
1664175311.370986,11329.716075691083
1664175316.370986,16357.753388128822
1664175321.370986,16357.753388128822
1664175326.370986,10102.691105288366
1664175331.370986,16357.753388128822
1664175336.370986,12428.660532181993
1664175341.370986,16357.753388128822
1664175346.370986,16357.753388128822
1664175351.370986,11021.814934674247
1664175356.370986,16357.753388128822
1664175361.370986,10972.839228543608
1664175366.370986,16109.07920410002
1664175371.370986,13824.03917852745
1664175376.370986,16357.753388128822
1664175381.370986,16357.753388128822
1664175386.370986,9913.60803471733
1664175391.370986,16357.753388128822
1664175396.370986,11590.010033211624
1664175401.370986,12017.172401829754
1664175406.370986,16357.753388128822
1664175411.370986,16357.753388128822
1664175416.370986,10797.908006807449
1664175421.370986,10437.330347154224
1664175426.370986,15003.696787011464
1664175431.370986,16357.753388128822
1664175436.370986,16357.753388128822
1664175441.370986,11378.682213852657
1664175446.370986,16357.753388128822
1664175451.370986,15837.804871020542
1664175456.370986,16357.753388128822
1664175461.370986,11535.105086956279
1664175466.370986,16357.753388128822
1664175471.370986,16357.753388128822
1664175476.370986,11506.657696574617
1664175481.370986,16357.753388128822
1664175486.370986,15395.10021335699
1664175491.370986,16357.753388128822
1664175496.370986,16357.753388128822
1664175501.370986,10747.424761080143
1664175506.370986,16357.753388128822
1664175511.370986,14587.05064462935
1664175516.370986,16264.872382533582
1664175521.370986,15844.256604514832
1664175526.370986,16357.753388128822
1664175531.370986,11262.261634008637
1664175536.370986,15797.509315179652
1664175541.370986,16357.753388128822
1664175546.370986,10453.930340544766
1664175551.370986,16357.753388128822
1664175556.370986,16357.753388128822
1664175561.370986,11280.524549081723
1664175566.370986,15655.77793951915
1664175571.370986,16357.753388128822
1664175576.370986,10752.394909717383
1664175581.370986,16357.753388128822
1664175586.370986,16357.753388128822
1664175591.370986,10419.233421191548
1664175596.370986,16357.753388128822
1664175601.370986,16353.999502618186
1664175606.370986,11154.061065236132
1664175611.370986,16251.03856043522
1664175616.370986,16357.753388128822
1664175621.370986,12682.328606183044
1664175626.370986,11070.344150013112
1664175631.370986,16357.753388128822
1664175636.370986,10258.259918094369
1664175641.370986,16357.753388128822
1664175646.370986,14107.809685088772
1664175651.370986,16357.753388128822
1664175656.370986,16357.753388128822
1664175661.370986,12140.369679764503
1664175666.370986,16357.753388128822
1664175671.370986,16357.753388128822
1664175676.370986,11267.061204373833
1664175681.370986,16357.753388128822
1664175686.370986,16357.753388128822
1664175691.370986,16357.753388128822
1664175696.370986,12253.076870202256
1664175701.370986,16357.753388128822
1664175706.370986,15016.058981867642
1664175711.370986,11566.091669128658
1664175716.370986,15371.768157966702
1664175721.370986,16357.753388128822
1664175726.370986,12997.973870868771
1664175731.370986,12770.916418599481
1664175736.370986,11407.496607283081
1664175741.370986,10584.12771349505
1664175746.370986,16357.753388128822
1664175751.370986,16357.753388128822
1664175756.370986,13042.78385211439
1664175761.370986,16357.753388128822
1664175766.370986,15292.516946188282
1664175771.370986,11629.900411538936
1664175776.370986,11232.915027710636
1664175781.370986,16357.753388128822
1664175786.370986,10468.551539391632
1664175791.370986,16357.753388128822
1664175796.370986,11468.912708017077
1664175801.370986,12659.642020705936
1664175806.370986,10935.646108319506
1664175811.370986,16357.753388128822
1664175816.370986,11290.65668197129
1664175821.370986,11623.738422990242
1664175826.370986,13055.790856650581
1664175831.370986,16357.753388128822
1664175836.370986,16357.753388128822
1664175841.370986,11332.499142458048
1664175846.370986,13019.182767946822
1664175851.370986,12513.74079640903
1664175856.370986,10977.37280070996
1664175861.370986,10468.995649014634
1664175866.370986,14028.982781350313
1664175871.370986,13362.971520937916
1664175876.370986,11733.77379053667
1664175881.370986,10731.229999320652
1664175886.370986,10737.753319407031
1664175891.370986,11435.64743391766
1664175896.370986,12089.116060998418
1664175901.370986,14198.401619025823
1664175906.370986,15895.882040078819
1664175911.370986,11211.938749174642
1664175916.370986,16131.636746464917
1664175921.370986,16357.753388128822
1664175926.370986,12671.33563748835
1664175931.370986,11390.48991026625
1664175936.370986,11376.05431270168
1664175941.370986,11851.974272390918
1664175946.370986,14298.728593489193
1664175951.370986,14809.631845958735
1664175956.370986,16357.753388128822
1664175961.370986,11898.33519544582
1664175966.370986,16357.753388128822
1664175971.370986,10090.92440827163
1664175976.370986,16357.753388128822
1664175981.370986,15774.807506457644
1664175986.370986,16357.753388128822
1664175991.370986,16357.753388128822
1664175996.370986,10172.04840387764
1664176001.370986,10743.878464780719
1664176006.370986,16357.753388128822
1664176011.370986,11006.355044891836
1664176016.370986,16357.753388128822
1664176021.370986,16357.753388128822
1664176026.370986,10550.368931344103
1664176031.370986,16357.753388128822
1664176036.370986,12361.644745081368
1664176041.370986,16357.753388128822
1664176046.370986,16357.753388128822
1664176051.370986,11607.162760815158
1664176056.370986,16357.753388128822
1664176061.370986,16357.753388128822
1664176066.370986,9980.608365867927
1664176071.370986,11707.67059587027
1664176076.370986,14970.241376585589
1664176081.370986,16239.869433957112
1664176086.370986,15121.492913937711
1664176091.370986,11983.08467203642
1664176096.370986,16357.753388128822
1664176101.370986,16357.753388128822
1664176106.370986,10997.671268731454
1664176111.370986,16357.753388128822
1664176116.370986,10903.593974768559
1664176121.370986,14197.918804586778
1664176126.370986,16357.753388128822
1664176131.370986,10105.572146326813
1664176136.370986,16101.11785830988
1664176141.370986,16357.753388128822
1664176146.370986,12403.835830323364
1664176151.370986,16357.753388128822
1664176156.370986,16357.753388128822
1664176161.370986,10962.00226969747
1664176166.370986,16357.753388128822
1664176171.370986,16357.753388128822
1664176176.370986,11253.851042847393
1664176181.370986,16357.753388128822
1664176186.370986,16223.057024076848
1664176191.370986,15853.429567446601
1664176196.370986,16357.753388128822
1664176201.370986,16357.753388128822
1664176206.370986,12240.347206887056
1664176211.370986,16357.753388128822
1664176216.370986,14757.217190946318
1664176221.370986,12119.425049126186
1664176226.370986,13212.355669060018
1664176231.370986,14166.863276754948
1664176236.370986,14017.725026688155
1664176241.370986,14271.852601321269
1664176246.370986,16357.753388128822
1664176251.370986,11843.157713601004
1664176256.370986,16357.753388128822
1664176261.370986,10330.4466513007
1664176266.370986,16357.753388128822
1664176271.370986,10531.874696548291
1664176276.370986,12162.01155991329
1664176281.370986,13101.551075765225
1664176286.370986,11407.027690210869
1664176291.370986,10542.168748914366
1664176296.370986,12112.638739772416
1664176301.370986,12909.023536330264
1664176306.370986,16357.753388128822
1664176311.370986,11279.796084613345
1664176316.370986,14304.824688603863
1664176321.370986,16357.753388128822
1664176326.370986,12748.191669481052
1664176331.370986,16357.753388128822
1664176336.370986,12218.119018045585
1664176341.370986,12027.562004004558
1664176346.370986,16357.753388128822
1664176351.370986,9786.31430226184
1664176356.370986,16357.753388128822
1664176361.370986,16357.753388128822
1664176366.370986,12736.566868476151
1664176371.370986,16357.753388128822
1664176376.370986,11737.277398974105
1664176381.370986,16191.297108639974
1664176386.370986,12250.424897599692
1664176391.370986,12285.935180911512
1664176396.370986,10594.613558182233
1664176401.370986,16357.753388128822
1664176406.370986,14820.209852700893
1664176411.370986,16357.753388128822
1664176416.370986,11763.941293945392
1664176421.370986,12337.248263955933
1664176426.370986,12608.375933274283
